Region;Alder;Tid;value
0516;F20-64;2015;3186
0516;F65+;2013;1224
0516;F65+;2014;1259
0516;F65+;2015;1292
0517;F0-19;2013;1373
0517;F0-19;2014;1341
0517;F0-19;2015;1324
0517;F20-64;2013;3324
0517;F20-64;2014;3359
0517;F20-64;2015;3342
0517;F65+;2013;1255
0517;F65+;2014;1274
0517;F65+;2015;1299
0519;F0-19;2013;736
0519;F0-19;2014;734
0519;F0-19;2015;740
0519;F20-64;2013;1777
0519;F20-64;2014;1760
0519;F20-64;2015;1761
0519;F65+;2013;680
0519;F65+;2014;697
0519;F65+;2015;703
0520;F0-19;2013;982
0520;F0-19;2014;969
0520;F0-19;2015;937
0520;F20-64;2013;2532
0520;F20-64;2014;2517
0520;F20-64;2015;2474
0520;F65+;2013;982
0520;F65+;2014;1009
0520;F65+;2015;1048
0521;F0-19;2013;1213
0521;F0-19;2014;1186
0521;F0-19;2015;1127
0521;F20-64;2013;2988
0521;F20-64;2014;2975
0521;F20-64;2015;2978
0521;F65+;2013;901
0521;F65+;2014;929
0521;F65+;2015;960
0522;F0-19;2013;1421
0522;F0-19;2014;1428
0522;F0-19;2015;1413
0522;F20-64;2013;3401
0522;F20-64;2014;3460
0522;F20-64;2015;3466
0522;F65+;2013;1319
0522;F65+;2014;1349
0522;F65+;2015;1331
0528;F0-19;2013;3340
0528;F0-19;2014;3330
0528;F0-19;2015;3301
0528;F20-64;2013;8486
0528;F20-64;2014;8442
0528;F20-64;2015;8448
0528;F65+;2013;2940
0528;F65+;2014;3005
0528;F65+;2015;3047
0529;F0-19;2013;3015
0529;F0-19;2014;2991
0529;F0-19;2015;2974
0529;F20-64;2013;7509
0529;F20-64;2014;7535
0529;F20-64;2015;7567
0529;F65+;2013;2475
0529;F65+;2014;2549
0529;F65+;2015;2611
0532;F0-19;2013;1583
0532;F0-19;2014;1556
0532;F0-19;2015;1578
0532;F20-64;2013;3688
0532;F20-64;2014;3722
0532;F20-64;2015;3760
0532;F65+;2013;1173
0532;F65+;2014;1238
0532;F65+;2015;1261
0533;F0-19;2013;2237
0533;F0-19;2014;2247
0533;F0-19;2015;2247
0533;F20-64;2013;5302
0533;F20-64;2014;5305
0533;F20-64;2015;5322
0533;F65+;2013;1341
0533;F65+;2014;1400
0533;F65+;2015;1434
0534;F0-19;2013;3219
0534;F0-19;2014;3204
0534;F0-19;2015;3227
0534;F20-64;2013;7775
0534;F20-64;2014;7818
0534;F20-64;2015;7814
0534;F65+;2013;2556
0534;F65+;2014;2585
0534;F65+;2015;2644
0536;F0-19;2013;1277
0536;F0-19;2014;1250
0536;F0-19;2015;1230
0536;F20-64;2013;3288
0536;F20-64;2014;3296
0536;F20-64;2015;3346
0536;F65+;2013;1138
0536;F65+;2014;1155
0536;F65+;2015;1196
0538;F0-19;2013;1541
0538;F0-19;2014;1482
0538;F0-19;2015;1477
0538;F20-64;2013;3793
0538;F20-64;2014;3793
0538;F20-64;2015;3810
0538;F65+;2013;1424
0538;F65+;2014;1425
0538;F65+;2015;1453
0540;F0-19;2013;740
0540;F0-19;2014;728
0540;F0-19;2015;708
0540;F20-64;2013;1709
0540;F20-64;2014;1701
0540;F20-64;2015;1665
0540;F65+;2013;698
0540;F65+;2014;704
0540;F65+;2015;721
0541;F0-19;2013;291
0541;F0-19;2014;297
0541;F0-19;2015;286
0541;F20-64;2013;774
0541;F20-64;2014;783
0541;F20-64;2015;785
0541;F65+;2013;334
0541;F65+;2014;328
0541;F65+;2015;331
0542;F0-19;2013;1435
0542;F0-19;2014;1415
0542;F0-19;2015;1409
0542;F20-64;2013;3717
0542;F20-64;2014;3739
0542;F20-64;2015;3727
0542;F65+;2013;1244
0542;F65+;2014;1263
0542;F65+;2015;1330
0543;F0-19;2013;502
0543;F0-19;2014;495
0543;F0-19;2015;481
0543;F20-64;2013;1282
0543;F20-64;2014;1244
0543;F20-64;2015;1231
0543;F65+;2013;435
0543;F65+;2014;448
0543;F65+;2015;468
0544;F0-19;2013;705
0544;F0-19;2014;710
0544;F0-19;2015;700
0544;F20-64;2013;1846
0544;F20-64;2014;1851
0544;F20-64;2015;1843
0544;F65+;2013;646
0544;F65+;2014;645
0544;F65+;2015;656
0545;F0-19;2013;347
0545;F0-19;2014;342
0545;F0-19;2015;332
0545;F20-64;2013;918
0545;F20-64;2014;912
0545;F20-64;2015;933
0545;F65+;2013;332
0545;F65+;2014;348
0545;F65+;2015;354
0602;F0-19;2013;15452
0602;F0-19;2014;15575
0602;F0-19;2015;15713
0602;F20-64;2013;39217
0602;F20-64;2014;39540
0602;F20-64;2015;39972
0602;F65+;2013;10804
0602;F65+;2014;11099
0602;F65+;2015;11331
0604;F0-19;2013;6193
0604;F0-19;2014;6308
0604;F0-19;2015;6320
0604;F20-64;2013;15439
0604;F20-64;2014;15683
0604;F20-64;2015;15797
0604;F65+;2013;4255
0604;F65+;2014;4415
0604;F65+;2015;4594
0605;F0-19;2013;6520
0605;F0-19;2014;6514
0605;F0-19;2015;6481
0605;F20-64;2013;17572
0605;F20-64;2014;17633
0605;F20-64;2015;17600
0605;F65+;2013;5308
0605;F65+;2014;5477
0605;F65+;2015;5631
0612;F0-19;2013;1595
0612;F0-19;2014;1661
0612;F0-19;2015;1667
0612;F20-64;2013;3866
0612;F20-64;2014;3903
0612;F20-64;2015;3967
0612;F65+;2013;1002
0612;F65+;2014;1031
0612;F65+;2015;1064
0615;F0-19;2013;228
0615;F0-19;2014;208
0615;F0-19;2015;204
0615;F20-64;2013;580
0615;F20-64;2014;577
0615;F20-64;2015;581
0615;F65+;2013;242
0615;F65+;2014;248
0615;F65+;2015;248
0616;F0-19;2013;757
0616;F0-19;2014;746
0616;F0-19;2015;711
0616;F20-64;2013;1959
0616;F20-64;2014;1973
0616;F20-64;2015;1963
0616;F65+;2013;719
0616;F65+;2014;726
0616;F65+;2015;740
0617;F0-19;2013;1104
0617;F0-19;2014;1065
0617;F0-19;2015;1054
0617;F20-64;2013;2673
0617;F20-64;2014;2628
0617;F20-64;2015;2579
0617;F65+;2013;890
0617;F65+;2014;938
0617;F65+;2015;955
0618;F0-19;2013;572
0618;F0-19;2014;576
0618;F0-19;2015;581
0618;F20-64;2013;1330
0618;F20-64;2014;1386
0618;F20-64;2015;1424
0618;F65+;2013;322
0618;F65+;2014;333
0618;F65+;2015;339
0619;F0-19;2013;1195
0619;F0-19;2014;1163
0619;F0-19;2015;1152
0619;F20-64;2013;2647
0619;F20-64;2014;2601
0619;F20-64;2015;2608
0619;F65+;2013;919
0619;F65+;2014;949
0619;F65+;2015;956
0620;F0-19;2013;918
0620;F0-19;2014;890
0620;F0-19;2015;906
0620;F20-64;2013;2638
0620;F20-64;2014;2646
0620;F20-64;2015;2616
